Name|s	MoveId|s
Aqua Ring	aqua_ring
Magnet Rise	magnet_rise
Flare Blitz	flare_blitz
Force Palm	force_palm
Aura Sphere	aura_sphere
Rock Polish	rock_polish
Poison Jab	poison_jab
Dark Pulse	dark_pulse
Night Slash	night_slash
Aqua Tail	aqua_tail
Seed Bomb	seed_bomb
Air Slash	air_slash
X-Scissor	x-scissor
Bug Buzz	bug_buzz
Dragon Pulse	dragon_pulse
Dragon Rush	dragon_rush
Power Gem	power_gem
Drain Punch	drain_punch
Vacuum Wave	vacuum_wave
Focus Blast	focus_blast
Energy Ball	energy_ball
Brave Bird	brave_bird
Earth Power	earth_power
Switcheroo	switcheroo
Giga Impact	giga_impact
Nasty Plot	nasty_plot
Bullet Punch	bullet_punch
Avalanche	avalanche
Ice Shard	ice_shard
Shadow Claw	shadow_claw
Thunder Fang	thunder_fang
Ice Fang	ice_fang
Fire Fang	fire_fang
Shadow Sneak	shadow_sneak
Mud Bomb	mud_bomb
Psycho Cut	psycho_cut
Zen Headbutt	zen_headbutt
Mirror Shot	mirror_shot
Flash Cannon	flash_cannon
Rock Climb	rock_climb
Defog	defog
Trick Room	trick_room
Draco Meteor	draco_meteor
Discharge	discharge
Lava Plume	lava_plume
Leaf Storm	leaf_storm
Power Whip	power_whip
Rock Wrecker	rock_wrecker
Cross Poison	cross_poison
Gunk Shot	gunk_shot
Iron Head	iron_head
Magnet Bomb	magnet_bomb
Stone Edge	stone_edge
Captivate	captivate
Stealth Rock	stealth_rock
Grass Knot	grass_knot
Chatter	chatter
Judgment	judgment
Bug Bite	bug_bite
Charge Beam	charge_beam
Wood Hammer	wood_hammer
Aqua Jet	aqua_jet
Attack Order	attack_order
Defend Order	defend_order
Heal Order	heal_order
Head Smash	head_smash
Double Hit	double_hit
Roar of Time	roar_of_time
Spacial Rend	spacial_rend
Lunar Dance	lunar_dance
Crush Grip	crush_grip
Magma Storm	magma_storm
Dark Void	dark_void
Seed Flare	seed_flare
Ominous Wind	ominous_wind
Shadow Force	shadow_force
Hone Claws	hone_claws
Wide Guard	wide_guard
Guard Split	guard_split
Power Split	power_split
Wonder Room	wonder_room
Psyshock	psyshock
Venoshock	venoshock
Autotomize	autotomize
Rage Powder	rage_powder
Telekinesis	telekinesis
Magic Room	magic_room
Smack Down	smack_down
Storm Throw	storm_throw
Flame Burst	flame_burst
Sludge Wave	sludge_wave
Quiver Dance	quiver_dance
Heavy Slam	heavy_slam
Synchronoise	synchronoise
Electro Ball	electro_ball
Soak	soak
Flame Charge	flame_charge
Coil	coil
Low Sweep	low_sweep
Acid Spray	acid_spray
Foul Play	foul_play
Simple Beam	simple_beam
Entrainment	entrainment
After You	after_you
Round	round
Echoed Voice	echoed_voice
Chip Away	chip_away
Clear Smog	clear_smog
Stored Power	stored_power
Quick Guard	quick_guard
Ally Switch	ally_switch
Scald	scald
Shell Smash	shell_smash
Heal Pulse	heal_pulse
Hex	hex
Sky Drop	sky_drop
Shift Gear	shift_gear
Circle Throw	circle_throw
Incinerate	incinerate
Quash	quash
Acrobatics	acrobatics
Reflect Type	reflect_type
Retaliate	retaliate
Final Gambit	final_gambit
Bestow	bestow
Inferno	inferno
Water Pledge	water_pledge
Fire Pledge	fire_pledge
Grass Pledge	grass_pledge
Volt Switch	volt_switch
Struggle Bug	struggle_bug
Bulldoze	bulldoze
Frost Breath	frost_breath
Dragon Tail	dragon_tail
Work Up	work_up
Electroweb	electroweb
Wild Charge	wild_charge
Drill Run	drill_run
Dual Chop	dual_chop
Heart Stamp	heart_stamp
Horn Leech	horn_leech
Sacred Sword	sacred_sword
Razor Shell	razor_shell
Heat Crash	heat_crash
Leaf Tornado	leaf_tornado
Steamroller	steamroller
Cotton Guard	cotton_guard
Night Daze	night_daze
Psystrike	psystrike
Tail Slap	tail_slap
Hurricane	hurricane
Head Charge	head_charge
Gear Grind	gear_grind
Searing Shot	searing_shot
Techno Blast	techno_blast
Relic Song	relic_song
Secret Sword	secret_sword
Glaciate	glaciate
Bolt Strike	bolt_strike
Blue Flare	blue_flare
Fiery Dance	fiery_dance
Freeze Shock	freeze_shock
Ice Burn	ice_burn
Snarl	snarl
Icicle Crash	icicle_crash
V-create	v-create
Fusion Flare	fusion_flare
Fusion Bolt	fusion_bolt
Flying Press	flying_press
Mat Block	mat_block
Belch	belch
Rototiller	rototiller
Sticky Web	sticky_web
Fell Stinger	fell_stinger
Phantom Force	phantom_force
Trick-or-Treat	trick-or-treat
Noble Roar	noble_roar
Ion Deluge	ion_deluge
Parabolic Charge	parabolic_charge
Forest's Curse	forest's_curse
Petal Blizzard	petal_blizzard
Freeze-Dry	freeze-dry
Disarming Voice	disarming_voice
Parting Shot	parting_shot
Topsy-Turvy	topsy-turvy
Draining Kiss	draining_kiss
Crafty Shield	crafty_shield
Flower Shield	flower_shield
Grassy Terrain	grassy_terrain
Misty Terrain	misty_terrain
Electrify	electrify
Play Rough	play_rough
Fairy Wind	fairy_wind
Moonblast	moonblast
Boomburst	boomburst
Fairy Lock	fairy_lock
King's Shield	king's_shield
Play Nice	play_nice
Confide	confide
Diamond Storm	diamond_storm
Steam Eruption	steam_eruption
Hyperspace Hole	hyperspace_hole
Water Shuriken	water_shuriken
Mystical Fire	mystical_fire
Spiky Shield	spiky_shield
Aromatic Mist	aromatic_mist
Eerie Impulse	eerie_impulse
Venom Drench	venom_drench
Powder	powder
Geomancy	geomancy
Magnetic Flux	magnetic_flux
Happy Hour	happy_hour
Electric Terrain	electric_terrain
Dazzling Gleam	dazzling_gleam
Celebrate	celebrate
Hold Hands	hold_hands
Baby-Doll Eyes	baby-doll_eyes
Nuzzle	nuzzle
Hold Back	hold_back
Infestation	infestation
Power-Up Punch	power-up_punch
Oblivion Wing	oblivion_wing
Thousand Arrows	thousand_arrows
Thousand Waves	thousand_waves
Land's Wrath	land's_wrath
Light of Ruin	light_of_ruin
Origin Pulse	origin_pulse
Precipice Blades	precipice_blades
Dragon Ascent	dragon_ascent
Hyperspace Fury	hyperspace_fury
