Index|s	PokemonId|s	Name|s
117	seadra	Seadra
118	goldeen	Goldeen
119	seaking	Seaking
120	staryu	Staryu
121	starmie	Starmie
122	mr. mime	Mr. Mime
123	scyther	Scyther
124	jynx	Jynx
125	electabuzz	Electabuzz
126	magmar	Magmar
127	pinsir	Pinsir
128	tauros	Tauros
129	magikarp	Magikarp
130	gyarados	Gyarados
131	lapras	Lapras
132	ditto	Ditto
133	eevee	Eevee
134	vaporeon	Vaporeon
135	jolteon	Jolteon
136	flareon	Flareon
137	porygon	Porygon
138	omanyte	Omanyte
139	omastar	Omastar
140	kabuto	Kabuto
141	kabutops	Kabutops
142	aerodactyl	Aerodactyl
143	snorlax	Snorlax
144	articuno	Articuno
145	zapdos	Zapdos
146	moltres	Moltres
147	dratini	Dratini
148	dragonair	Dragonair
149	dragonite	Dragonite
150	mewtwo	Mewtwo
151	mew	Mew
152	chikorita	Chikorita
153	bayleef	Bayleef
154	meganium	Meganium
155	cyndaquil	Cyndaquil
156	quilava	Quilava
157	typhlosion	Typhlosion
158	totodile	Totodile
159	croconaw	Croconaw
160	feraligatr	Feraligatr
161	sentret	Sentret
162	furret	Furret
163	hoothoot	Hoothoot
164	noctowl	Noctowl
165	ledyba	Ledyba
166	ledian	Ledian
167	spinarak	Spinarak
168	ariados	Ariados
169	crobat	Crobat
170	chinchou	Chinchou
171	lanturn	Lanturn
172	pichu	Pichu
173	cleffa	Cleffa
174	igglybuff	Igglybuff
175	togepi	Togepi
176	togetic	Togetic
177	natu	Natu
178	xatu	Xatu
179	mareep	Mareep
180	flaaffy	Flaaffy
181	ampharos	Ampharos
182	bellossom	Bellossom
183	marill	Marill
184	azumarill	Azumarill
185	sudowoodo	Sudowoodo
186	politoed	Politoed
187	hoppip	Hoppip
188	skiploom	Skiploom
189	jumpluff	Jumpluff
190	aipom	Aipom
191	sunkern	Sunkern
192	sunflora	Sunflora
193	yanma	Yanma
194	wooper	Wooper
195	quagsire	Quagsire
196	espeon	Espeon
197	umbreon	Umbreon
198	murkrow	Murkrow
199	slowking	Slowking
200	misdreavus	Misdreavus
201	unown	Unown
202	wobbuffet	Wobbuffet
203	girafarig	Girafarig
204	pineco	Pineco
205	forretress	Forretress
206	dunsparce	Dunsparce
207	gligar	Gligar
208	steelix	Steelix
209	snubbull	Snubbull
210	granbull	Granbull
211	qwilfish	Qwilfish
212	scizor	Scizor
213	shuckle	Shuckle
214	heracross	Heracross
215	sneasel	Sneasel
216	teddiursa	Teddiursa
217	ursaring	Ursaring
218	slugma	Slugma
219	magcargo	Magcargo
220	swinub	Swinub
221	piloswine	Piloswine
222	corsola	Corsola
223	remoraid	Remoraid
224	octillery	Octillery
225	delibird	Delibird
226	mantine	Mantine
227	skarmory	Skarmory
228	houndour	Houndour
229	houndoom	Houndoom
230	kingdra	Kingdra
231	phanpy	Phanpy
232	donphan	Donphan
233	porygon2	Porygon2
234	stantler	Stantler
235	smeargle	Smeargle
236	tyrogue	Tyrogue
237	hitmontop	Hitmontop
238	smoochum	Smoochum
239	elekid	Elekid
240	magby	Magby
241	miltank	Miltank
242	blissey	Blissey
243	raikou	Raikou
244	entei	Entei
245	suicune	Suicune
246	larvitar	Larvitar
247	pupitar	Pupitar
248	tyranitar	Tyranitar
249	lugia	Lugia
250	ho-oh	Ho-Oh
251	celebi	Celebi
252	treecko	Treecko
253	grovyle	Grovyle
254	sceptile	Sceptile
255	torchic	Torchic
256	combusken	Combusken
257	blaziken	Blaziken
258	mudkip	Mudkip
259	marshtomp	Marshtomp
260	swampert	Swampert
261	poochyena	Poochyena
262	mightyena	Mightyena
263	zigzagoon	Zigzagoon
264	linoone	Linoone
265	wurmple	Wurmple
266	silcoon	Silcoon
267	beautifly	Beautifly
268	cascoon	Cascoon
269	dustox	Dustox
270	lotad	Lotad
271	lombre	Lombre
272	ludicolo	Ludicolo
273	seedot	Seedot
274	nuzleaf	Nuzleaf
275	shiftry	Shiftry
276	taillow	Taillow
277	swellow	Swellow
278	wingull	Wingull
279	pelipper	Pelipper
280	ralts	Ralts
281	kirlia	Kirlia
282	gardevoir	Gardevoir
283	surskit	Surskit
284	masquerain	Masquerain
285	shroomish	Shroomish
286	breloom	Breloom
287	slakoth	Slakoth
288	vigoroth	Vigoroth
289	slaking	Slaking
290	nincada	Nincada
291	ninjask	Ninjask
292	shedinja	Shedinja
293	whismur	Whismur
294	loudred	Loudred
295	exploud	Exploud
296	makuhita	Makuhita
297	hariyama	Hariyama
298	azurill	Azurill
299	nosepass	Nosepass
300	skitty	Skitty
301	delcatty	Delcatty
302	sableye	Sableye
303	mawile	Mawile
304	aron	Aron
305	lairon	Lairon
306	aggron	Aggron
307	meditite	Meditite
308	medicham	Medicham
309	electrike	Electrike
310	manectric	Manectric
311	plusle	Plusle
312	minun	Minun
313	volbeat	Volbeat
314	illumise	Illumise
315	roselia	Roselia
316	gulpin	Gulpin
317	swalot	Swalot
318	carvanha	Carvanha
319	sharpedo	Sharpedo
320	wailmer	Wailmer
321	wailord	Wailord
322	numel	Numel
323	camerupt	Camerupt
324	torkoal	Torkoal
325	spoink	Spoink
326	grumpig	Grumpig
327	spinda	Spinda
328	trapinch	Trapinch
329	vibrava	Vibrava
330	flygon	Flygon
331	cacnea	Cacnea
332	cacturne	Cacturne
333	swablu	Swablu
334	altaria	Altaria
335	zangoose	Zangoose
336	seviper	Seviper
337	lunatone	Lunatone
338	solrock	Solrock
339	barboach	Barboach
340	whiscash	Whiscash
341	corphish	Corphish
342	crawdaunt	Crawdaunt
343	baltoy	Baltoy
344	claydol	Claydol
345	lileep	Lileep
346	cradily	Cradily
347	anorith	Anorith
348	armaldo	Armaldo
349	feebas	Feebas
350	milotic	Milotic
351	castform	Castform
352	kecleon	Kecleon
353	shuppet	Shuppet
354	banette	Banette
355	duskull	Duskull
356	dusclops	Dusclops
357	tropius	Tropius
358	chimecho	Chimecho
359	absol	Absol
360	wynaut	Wynaut
361	snorunt	Snorunt
362	glalie	Glalie
363	spheal	Spheal
364	sealeo	Sealeo
365	walrein	Walrein
366	clamperl	Clamperl
367	huntail	Huntail
368	gorebyss	Gorebyss
369	relicanth	Relicanth
370	luvdisc	Luvdisc
371	bagon	Bagon
372	shelgon	Shelgon
373	salamence	Salamence
374	beldum	Beldum
375	metang	Metang
376	metagross	Metagross
377	regirock	Regirock
378	regice	Regice
379	registeel	Registeel
380	latias	Latias
381	latios	Latios
382	kyogre	Kyogre
383	groudon	Groudon
384	rayquaza	Rayquaza
385	jirachi	Jirachi
386	deoxys	Deoxys
387	turtwig	Turtwig
388	grotle	Grotle
389	torterra	Torterra
390	chimchar	Chimchar
391	monferno	Monferno
392	infernape	Infernape
393	piplup	Piplup
394	prinplup	Prinplup
395	empoleon	Empoleon
396	starly	Starly
397	staravia	Staravia
398	staraptor	Staraptor
399	bidoof	Bidoof
400	bibarel	Bibarel
401	kricketot	Kricketot
402	kricketune	Kricketune
403	shinx	Shinx
404	luxio	Luxio
405	luxray	Luxray
406	budew	Budew
407	roserade	Roserade
408	cranidos	Cranidos
409	rampardos	Rampardos
410	shieldon	Shieldon
411	bastiodon	Bastiodon
412	burmy	Burmy
413	wormadam	Wormadam
414	mothim	Mothim
415	combee	Combee
416	vespiquen	Vespiquen
417	pachirisu	Pachirisu
418	buizel	Buizel
419	floatzel	Floatzel
420	cherubi	Cherubi
421	cherrim	Cherrim
422	shellos	Shellos
423	gastrodon	Gastrodon
424	ambipom	Ambipom
425	drifloon	Drifloon
426	drifblim	Drifblim
427	buneary	Buneary
428	lopunny	Lopunny
429	mismagius	Mismagius
430	honchkrow	Honchkrow
431	glameow	Glameow
432	purugly	Purugly
433	chingling	Chingling
434	stunky	Stunky
435	skuntank	Skuntank
436	bronzor	Bronzor
437	bronzong	Bronzong
438	bonsly	Bonsly
439	mime jr.	Mime Jr.
440	happiny	Happiny
441	chatot	Chatot
442	spiritomb	Spiritomb
443	gible	Gible
444	gabite	Gabite
445	garchomp	Garchomp
446	munchlax	Munchlax
447	riolu	Riolu
448	lucario	Lucario
449	hippopotas	Hippopotas
450	hippowdon	Hippowdon
451	skorupi	Skorupi
452	drapion	Drapion
453	croagunk	Croagunk
454	toxicroak	Toxicroak
455	carnivine	Carnivine
456	finneon	Finneon
457	lumineon	Lumineon
458	mantyke	Mantyke
459	snover	Snover
460	abomasnow	Abomasnow
461	weavile	Weavile
462	magnezone	Magnezone
463	lickilicky	Lickilicky
464	rhyperior	Rhyperior
465	tangrowth	Tangrowth
466	electivire	Electivire
467	magmortar	Magmortar
468	togekiss	Togekiss
469	yanmega	Yanmega
470	leafeon	Leafeon
471	glaceon	Glaceon
472	gliscor	Gliscor
473	mamoswine	Mamoswine
474	porygon-z	Porygon-Z
475	gallade	Gallade
476	probopass	Probopass
477	dusknoir	Dusknoir
478	froslass	Froslass
479	rotom	Rotom
480	uxie	Uxie
481	mesprit	Mesprit
482	azelf	Azelf
483	dialga	Dialga
484	palkia	Palkia
485	heatran	Heatran
486	regigigas	Regigigas
487	giratina	Giratina
488	cresselia	Cresselia
489	phione	Phione
490	manaphy	Manaphy
491	darkrai	Darkrai
492	shaymin	Shaymin
493	arceus	Arceus
494	victini	Victini
495	snivy	Snivy
496	servine	Servine
497	serperior	Serperior
498	tepig	Tepig
499	pignite	Pignite
500	emboar	Emboar
501	oshawott	Oshawott
502	dewott	Dewott
503	samurott	Samurott
504	patrat	Patrat
505	watchog	Watchog
506	lillipup	Lillipup
507	herdier	Herdier
508	stoutland	Stoutland
509	purrloin	Purrloin
510	liepard	Liepard
511	pansage	Pansage
512	simisage	Simisage
513	pansear	Pansear
514	simisear	Simisear
515	panpour	Panpour
516	simipour	Simipour
517	munna	Munna
518	musharna	Musharna
519	pidove	Pidove
520	tranquill	Tranquill
521	unfezant	Unfezant
522	blitzle	Blitzle
523	zebstrika	Zebstrika
524	roggenrola	Roggenrola
525	boldore	Boldore
526	gigalith	Gigalith
527	woobat	Woobat
528	swoobat	Swoobat
529	drilbur	Drilbur
530	excadrill	Excadrill
531	audino	Audino
532	timburr	Timburr
533	gurdurr	Gurdurr
534	conkeldurr	Conkeldurr
535	tympole	Tympole
536	palpitoad	Palpitoad
537	seismitoad	Seismitoad
538	throh	Throh
539	sawk	Sawk
540	sewaddle	Sewaddle
541	swadloon	Swadloon
542	leavanny	Leavanny
543	venipede	Venipede
544	whirlipede	Whirlipede
545	scolipede	Scolipede
546	cottonee	Cottonee
547	whimsicott	Whimsicott
548	petilil	Petilil
549	lilligant	Lilligant
550	basculin	Basculin
551	sandile	Sandile
552	krokorok	Krokorok
553	krookodile	Krookodile
554	darumaka	Darumaka
555	darmanitan	Darmanitan
556	maractus	Maractus
557	dwebble	Dwebble
558	crustle	Crustle
559	scraggy	Scraggy
560	scrafty	Scrafty
561	sigilyph	Sigilyph
562	yamask	Yamask
563	cofagrigus	Cofagrigus
564	tirtouga	Tirtouga
565	carracosta	Carracosta
566	archen	Archen
567	archeops	Archeops
568	trubbish	Trubbish
569	garbodor	Garbodor
570	zorua	Zorua
571	zoroark	Zoroark
572	minccino	Minccino
573	cinccino	Cinccino
574	gothita	Gothita
575	gothorita	Gothorita
576	gothitelle	Gothitelle
577	solosis	Solosis
578	duosion	Duosion
579	reuniclus	Reuniclus
580	ducklett	Ducklett
581	swanna	Swanna
582	vanillite	Vanillite
583	vanillish	Vanillish
584	vanilluxe	Vanilluxe
585	deerling	Deerling
586	sawsbuck	Sawsbuck
587	emolga	Emolga
588	karrablast	Karrablast
589	escavalier	Escavalier
590	foongus	Foongus
591	amoonguss	Amoonguss
592	frillish	Frillish
593	jellicent	Jellicent
594	alomomola	Alomomola
595	joltik	Joltik
596	galvantula	Galvantula
597	ferroseed	Ferroseed
598	ferrothorn	Ferrothorn
599	klink	Klink
600	klang	Klang
601	klinklang	Klinklang
602	tynamo	Tynamo
603	eelektrik	Eelektrik
604	eelektross	Eelektross
605	elgyem	Elgyem
606	beheeyem	Beheeyem
607	litwick	Litwick
608	lampent	Lampent
609	chandelure	Chandelure
610	axew	Axew
611	fraxure	Fraxure
612	haxorus	Haxorus
613	cubchoo	Cubchoo
614	beartic	Beartic
615	cryogonal	Cryogonal
616	shelmet	Shelmet
617	accelgor	Accelgor
618	stunfisk	Stunfisk
619	mienfoo	Mienfoo
620	mienshao	Mienshao
621	druddigon	Druddigon
622	golett	Golett
623	golurk	Golurk
624	pawniard	Pawniard
625	bisharp	Bisharp
626	bouffalant	Bouffalant
627	rufflet	Rufflet
628	braviary	Braviary
629	vullaby	Vullaby
630	mandibuzz	Mandibuzz
631	heatmor	Heatmor
632	durant	Durant
633	deino	Deino
634	zweilous	Zweilous
635	hydreigon	Hydreigon
636	larvesta	Larvesta
637	volcarona	Volcarona
638	cobalion	Cobalion
639	terrakion	Terrakion
640	virizion	Virizion
641	tornadus	Tornadus
642	thundurus	Thundurus
643	reshiram	Reshiram
644	zekrom	Zekrom
645	landorus	Landorus
646	kyurem	Kyurem
647	keldeo	Keldeo
648	meloetta	Meloetta
649	genesect	Genesect
650	chespin	Chespin
651	quilladin	Quilladin
652	chesnaught	Chesnaught
653	fennekin	Fennekin
654	braixen	Braixen
655	delphox	Delphox
656	froakie	Froakie
657	frogadier	Frogadier
658	greninja	Greninja
659	bunnelby	Bunnelby
660	diggersby	Diggersby
661	fletchling	Fletchling
662	fletchinder	Fletchinder
663	talonflame	Talonflame
664	scatterbug	Scatterbug
665	spewpa	Spewpa
666	vivillon	Vivillon
667	litleo	Litleo
668	pyroar	Pyroar
669	flabebe	Flabebe
670	floette	Floette
671	florges	Florges
672	skiddo	Skiddo
673	gogoat	Gogoat
674	pancham	Pancham
675	pangoro	Pangoro
676	furfrou	Furfrou
677	espurr	Espurr
678	meowstic	Meowstic
679	honedge	Honedge
680	doublade	Doublade
681	aegislash	Aegislash
682	spritzee	Spritzee
683	aromatisse	Aromatisse
684	swirlix	Swirlix
685	slurpuff	Slurpuff
686	inkay	Inkay
687	malamar	Malamar
688	binacle	Binacle
689	barbaracle	Barbaracle
690	skrelp	Skrelp
691	dragalge	Dragalge
692	clauncher	Clauncher
693	clawitzer	Clawitzer
694	helioptile	Helioptile
695	heliolisk	Heliolisk
696	tyrunt	Tyrunt
697	tyrantrum	Tyrantrum
698	amaura	Amaura
699	aurorus	Aurorus
700	sylveon	Sylveon
701	hawlucha	Hawlucha
702	dedenne	Dedenne
703	carbink	Carbink
704	goomy	Goomy
705	sliggoo	Sliggoo
706	goodra	Goodra
707	klefki	Klefki
708	phantump	Phantump
709	trevenant	Trevenant
710	pumpkaboo	Pumpkaboo
711	gourgeist	Gourgeist
712	bergmite	Bergmite
713	avalugg	Avalugg
714	noibat	Noibat
715	noivern	Noivern
716	xerneas	Xerneas
717	yveltal	Yveltal
718	zygarde	Zygarde
719	diancie	Diancie
720	hoopa	Hoopa
721	volcanion	Volcanion
