Note|s	PokemonId|s	Index|i	AbilityId|s	AbilitySetId|s	GenerationId|s
	leafeon	7	chlorophyll	eevee	gen5
	glaceon	8	ice_body	eevee	gen5
	porygon	1	analytic	porygon	gen5
	porygon2	2	analytic	porygon	gen5
	porygon-z	3	analytic	porygon	gen5
	omanyte	1	weak_armor	omanyte	gen5
	omastar	2	weak_armor	omanyte	gen5
	kabuto	1	weak_armor	kabuto	gen5
	kabutops	2	weak_armor	kabuto	gen5
	aerodactyl	1	unnerve	aerodactyl	gen5
	munchlax	1	gluttony	munchlax	gen5
	snorlax	2	gluttony	munchlax	gen5
	dratini	1	marvel_scale	dratini	gen5
	dragonair	2	marvel_scale	dratini	gen5
	dragonite	3	marvel_scale	dratini	gen5
	mewtwo	1	unnerve	mewtwo	gen5
	sentret	1	frisk	sentret	gen5
	furret	2	frisk	sentret	gen5
	hoothoot	1	tinted_lens	hoothoot	gen5
	noctowl	2	tinted_lens	hoothoot	gen5
	ledyba	1	rattled	ledyba	gen5
	ledian	2	iron_fist	ledyba	gen5
	spinarak	1	sniper	spinarak	gen5
	ariados	2	sniper	spinarak	gen5
	chinchou	1	water_absorb	chinchou	gen5
	lanturn	2	water_absorb	chinchou	gen5
	togepi	1	super_luck	togepi	gen5
	togetic	2	super_luck	togepi	gen5
	togekiss	3	super_luck	togepi	gen5
	natu	1	magic_bounce	natu	gen5
	xatu	2	magic_bounce	natu	gen5
	mareep	1	plus	mareep	gen5
	flaaffy	2	plus	mareep	gen5
	ampharos	3	plus	mareep	gen5
	azurill	1	sap_sipper	azurill	gen5
	marill	2	sap_sipper	azurill	gen5
	azumarill	3	sap_sipper	azurill	gen5
	bonsly	1	rattled	bonsly	gen5
	sudowoodo	2	rattled	bonsly	gen5
	hoppip	1	infiltrator	hoppip	gen5
	skiploom	2	infiltrator	hoppip	gen5
	jumpluff	3	infiltrator	hoppip	gen5
	aipom	1	skill_link	aipom	gen5
	ambipom	2	skill_link	aipom	gen5
	sunkern	1	early_bird	sunkern	gen5
	sunflora	2	early_bird	sunkern	gen5
	yanma	1	frisk	yanma	gen5
	yanmega	2	frisk	yanma	gen5
	wooper	1	unaware	wooper	gen5
	quagsire	2	unaware	wooper	gen5
	murkrow	1	prankster	murkrow	gen5
	honchkrow	2	moxie	murkrow	gen5
	wynaut	1	telepathy	wynaut	gen5
	wobbuffet	2	telepathy	wynaut	gen5
	girafarig	1	sap_sipper	girafarig	gen5
	pineco	1	overcoat	pineco	gen5
	forretress	2	overcoat	pineco	gen5
	dunsparce	1	rattled	dunsparce	gen5
	gligar	1	immunity	gligar	gen5
	gliscor	2	poison_heal	gligar	gen5
	snubbull	1	rattled	snubbull	gen5
	granbull	2	rattled	snubbull	gen5
	qwilfish	1	intimidate	qwilfish	gen5
	shuckle	1	contrary	shuckle	gen5
	heracross	1	moxie	heracross	gen5
	sneasel	1	pickpocket	sneasel	gen5
	weavile	2	pickpocket	sneasel	gen5
	teddiursa	1	honey_gather	teddiursa	gen5
	ursaring	2	unnerve	teddiursa	gen5
	slugma	1	weak_armor	slugma	gen5
	magcargo	2	weak_armor	slugma	gen5
	swinub	1	thick_fat	swinub	gen5
	piloswine	2	thick_fat	swinub	gen5
	mamoswine	3	thick_fat	swinub	gen5
	corsola	1	regenerator	corsola	gen5
	remoraid	1	moody	remoraid	gen5
	octillery	2	moody	remoraid	gen5
	delibird	1	insomnia	delibird	gen5
	mantyke	1	water_veil	mantyke	gen5
	mantine	2	water_veil	mantyke	gen5
	skarmory	1	weak_armor	skarmory	gen5
	houndour	1	unnerve	houndour	gen5
	houndoom	2	unnerve	houndour	gen5
	phanpy	1	sand_veil	phanpy	gen5
	donphan	2	sand_veil	phanpy	gen5
	stantler	1	sap_sipper	stantler	gen5
	smeargle	1	moody	smeargle	gen5
	miltank	1	sap_sipper	miltank	gen5
	larvitar	1	sand_veil	larvitar	gen5
	tyranitar	2	unnerve	larvitar	gen5
	lugia	1	multiscale	lugia	gen5
	ho-oh	1	regenerator	ho-oh	gen5
	treecko	1	unburden	treecko	gen5
	grovyle	2	unburden	treecko	gen5
	sceptile	3	unburden	treecko	gen5
	torchic	1	speed_boost	torchic	gen5
	combusken	2	speed_boost	torchic	gen5
	blaziken	3	speed_boost	torchic	gen5
	mudkip	1	damp	mudkip	gen5
	marshtomp	2	damp	mudkip	gen5
	swampert	3	damp	mudkip	gen5
	poochyena	1	rattled	poochyena	gen5
	mightyena	2	moxie	poochyena	gen5
	zigzagoon	1	quick_feet	zigzagoon	gen5
	linoone	2	quick_feet	zigzagoon	gen5
	wurmple	1	run_away	wurmple	gen5
	beautifly	2	rivalry	wurmple	gen5
	dustox	3	compound_eyes	wurmple	gen5
	lotad	1	own_tempo	lotad	gen5
	lombre	2	own_tempo	lotad	gen5
	ludicolo	3	own_tempo	lotad	gen5
	seedot	1	pickpocket	seedot	gen5
	nuzleaf	2	pickpocket	seedot	gen5
	shiftry	3	pickpocket	seedot	gen5
	taillow	1	scrappy	taillow	gen5
	swellow	2	scrappy	taillow	gen5
	wingull	1	rain_dish	wingull	gen5
	pelipper	2	rain_dish	wingull	gen5
	ralts	1	telepathy	ralts	gen5
	kirlia	2	telepathy	ralts	gen5
	gardevoir	3	telepathy	ralts	gen5
	gallade	4	justified	ralts	gen5
	surskit	1	rain_dish	surskit	gen5
	masquerain	2	unnerve	surskit	gen5
	shroomish	1	quick_feet	shroomish	gen5
	breloom	2	technician	shroomish	gen5
	nincada	1	run_away	nincada	gen5
	ninjask	2	infiltrator	nincada	gen5
	whismur	1	rattled	whismur	gen5
	loudred	2	scrappy	whismur	gen5
	exploud	3	scrappy	whismur	gen5
	makuhita	1	sheer_force	makuhita	gen5
	hariyama	2	sheer_force	makuhita	gen5
	nosepass	1	sand_force	nosepass	gen5
	probopass	2	sand_force	nosepass	gen5
	skitty	1	wonder_skin	skitty	gen5
	delcatty	2	wonder_skin	skitty	gen5
	sableye	1	prankster	sableye	gen5
	mawile	1	sheer_force	mawile	gen5
	aron	1	heavy_metal	aron	gen5
	lairon	2	heavy_metal	aron	gen5
	aggron	3	heavy_metal	aron	gen5
	meditite	1	telepathy	meditite	gen5
	medicham	2	telepathy	meditite	gen5
	electrike	1	minus	electrike	gen5
	manectric	2	minus	electrike	gen5
	volbeat	1	prankster	volbeat	gen5
	illumise	1	prankster	illumise	gen5
	budew	1	leaf_guard	budew	gen5
	roselia	2	leaf_guard	budew	gen5
	roserade	3	technician	budew	gen5
	gulpin	1	gluttony	gulpin	gen5
	swalot	2	gluttony	gulpin	gen5
	carvanha	1	speed_boost	carvanha	gen5
	sharpedo	2	speed_boost	carvanha	gen5
	wailmer	1	pressure	wailmer	gen5
	wailord	2	pressure	wailmer	gen5
	numel	1	own_tempo	numel	gen5
	camerupt	2	anger_point	numel	gen5
	torkoal	1	shell_armor	torkoal	gen5
	spoink	1	gluttony	spoink	gen5
	grumpig	2	gluttony	spoink	gen5
	spinda	1	contrary	spinda	gen5
	trapinch	1	sheer_force	trapinch	gen5
	cacnea	1	water_absorb	cacnea	gen5
	cacturne	2	water_absorb	cacnea	gen5
	swablu	1	cloud_nine	swablu	gen5
	altaria	2	cloud_nine	swablu	gen5
	zangoose	1	toxic_boost	zangoose	gen5
	seviper	1	infiltrator	seviper	gen5
	barboach	1	hydration	barboach	gen5
	whiscash	2	hydration	barboach	gen5
	corphish	1	adaptability	corphish	gen5
	crawdaunt	2	adaptability	corphish	gen5
	lileep	1	storm_drain	lileep	gen5
	cradily	2	storm_drain	lileep	gen5
	anorith	1	swift_swim	anorith	gen5
	armaldo	2	swift_swim	anorith	gen5
	feebas	1	adaptability	feebas	gen5
	milotic	2	cute_charm	feebas	gen5
	shuppet	1	cursed_body	shuppet	gen5
	banette	2	cursed_body	shuppet	gen5
	tropius	1	harvest	tropius	gen5
	absol	1	justified	absol	gen5
	snorunt	1	moody	snorunt	gen5
	glalie	2	moody	snorunt	gen5
	froslass	3	cursed_body	snorunt	gen5
	spheal	1	oblivious	spheal	gen5
	sealeo	2	oblivious	spheal	gen5
	walrein	3	oblivious	spheal	gen5
	clamperl	1	rattled	clamperl	gen5
	huntail	2	water_veil	clamperl	gen5
	gorebyss	3	hydration	clamperl	gen5
	relicanth	1	sturdy	relicanth	gen5
	luvdisc	1	hydration	luvdisc	gen5
	bagon	1	sheer_force	bagon	gen5
	shelgon	2	overcoat	bagon	gen5
	salamence	3	moxie	bagon	gen5
	beldum	1	light_metal	beldum	gen5
	metang	2	light_metal	beldum	gen5
	metagross	3	light_metal	beldum	gen5
	turtwig	1	shell_armor	turtwig	gen5
	grotle	2	shell_armor	turtwig	gen5
	torterra	3	shell_armor	turtwig	gen5
	chimchar	1	iron_fist	chimchar	gen5
	monferno	2	iron_fist	chimchar	gen5
	infernape	3	iron_fist	chimchar	gen5
	piplup	1	defiant	piplup	gen5
	prinplup	2	defiant	piplup	gen5
	empoleon	3	defiant	piplup	gen5
	staravia	1	reckless	staravia	gen5
	staraptor	2	reckless	staravia	gen5
	bidoof	1	moody	bidoof	gen5
	bibarel	2	moody	bidoof	gen5
	kricketot	1	run_away	kricketot	gen5
	kricketune	2	technician	kricketot	gen5
	shinx	1	guts	shinx	gen5
	luxio	2	guts	shinx	gen5
	luxray	3	guts	shinx	gen5
	cranidos	1	sheer_force	cranidos	gen5
	rampardos	2	sheer_force	cranidos	gen5
	shieldon	1	soundproof	shieldon	gen5
	bastiodon	2	soundproof	shieldon	gen5
	burmy	1	overcoat	burmy	gen5
	wormadam	2	overcoat	burmy	gen5
	mothim	3	tinted_lens	burmy	gen5
	combee	1	hustle	combee	gen5
	vespiquen	2	unnerve	combee	gen5
	pachirisu	1	volt_absorb	pachirisu	gen5
	buizel	1	water_veil	buizel	gen5
	floatzel	2	water_veil	buizel	gen5
	shellos	1	sand_force	shellos	gen5
	gastrodon	2	sand_force	shellos	gen5
	drifloon	1	flare_boost	drifloon	gen5
	drifblim	2	flare_boost	drifloon	gen5
	buneary	1	limber	buneary	gen5
	lopunny	2	limber	buneary	gen5
	glameow	1	keen_eye	glameow	gen5
	purugly	2	defiant	glameow	gen5
	stunky	1	keen_eye	stunky	gen5
	skuntank	2	keen_eye	stunky	gen5
	bronzor	1	heavy_metal	bronzor	gen5
	bronzong	2	heavy_metal	bronzor	gen5
	chatot	1	big_pecks	chatot	gen5
	spiritomb	1	infiltrator	spiritomb	gen5
	gible	1	rough_skin	gible	gen5
	gabite	2	rough_skin	gible	gen5
	garchomp	3	rough_skin	gible	gen5
	riolu	1	prankster	riolu	gen5
	lucario	2	justified	riolu	gen5
	hippopotas	1	sand_force	hippopotas	gen5
	hippowdon	2	sand_force	hippopotas	gen5
	skorupi	1	keen_eye	skorupi	gen5
	drapion	2	keen_eye	skorupi	gen5
	croagunk	1	poison_touch	croagunk	gen5
	toxicroak	2	poison_touch	croagunk	gen5
	finneon	1	water_veil	finneon	gen5
	lumineon	2	water_veil	finneon	gen5
	snover	1	soundproof	snover	gen5
	abomasnow	2	soundproof	snover	gen5
	dialga	1	telepathy	dialga	gen5
	palkia	1	telepathy	palkia	gen5
	giratina	1	telepathy	giratina	gen5
	patrat	1	analytic	patrat	gen5
	watchog	2	analytic	patrat	gen5
	lillipup	1	run_away	lillipup	gen5
	herdier	2	scrappy	lillipup	gen5
	stoutland	3	scrappy	lillipup	gen5
	purrloin	1	prankster	purrloin	gen5
	liepard	2	prankster	purrloin	gen5
	pansage	1	overgrow	pansage	gen5
	simisage	2	overgrow	pansage	gen5
	pansear	1	blaze	pansear	gen5
	simisear	2	blaze	pansear	gen5
	panpour	1	torrent	panpour	gen5
	simipour	2	torrent	panpour	gen5
	munna	1	telepathy	munna	gen5
	musharna	2	telepathy	munna	gen5
	pidove	1	rivalry	pidove	gen5
	tranquill	2	rivalry	pidove	gen5
	unfezant	3	rivalry	pidove	gen5
	blitzle	1	sap_sipper	blitzle	gen5
	zebstrika	2	sap_sipper	blitzle	gen5
	roggenrola	1	sand_force	roggenrola	gen5
	boldore	2	sand_force	roggenrola	gen5
	gigalith	3	sand_force	roggenrola	gen5
	woobat	1	simple	woobat	gen5
	swoobat	2	simple	woobat	gen5
	drilbur	1	mold_breaker	drilbur	gen5
	excadrill	2	mold_breaker	drilbur	gen5
	audino	1	klutz	audino	gen5
	timburr	1	iron_fist	timburr	gen5
	gurdurr	2	iron_fist	timburr	gen5
	conkeldurr	3	iron_fist	timburr	gen5
	tympole	1	water_absorb	tympole	gen5
	palpitoad	2	water_absorb	tympole	gen5
	seismitoad	3	water_absorb	tympole	gen5
	throh	1	mold_breaker	throh	gen5
	sawk	1	mold_breaker	sawk	gen5
	sewaddle	1	overcoat	sewaddle	gen5
	swadloon	2	overcoat	sewaddle	gen5
	leavanny	3	overcoat	sewaddle	gen5
	venipede	1	quick_feet	venipede	gen5
	whirlipede	2	quick_feet	venipede	gen5
	scolipede	3	quick_feet	venipede	gen5
	cottonee	1	chlorophyll	cottonee	gen5
	whimsicott	2	chlorophyll	cottonee	gen5
	petilil	1	leaf_guard	petilil	gen5
	lilligant	2	leaf_guard	petilil	gen5
	basculin	1	mold_breaker	basculin	gen5
	sandile	1	anger_point	sandile	gen5
	krokorok	2	anger_point	sandile	gen5
	krookodile	3	anger_point	sandile	gen5
	darumaka	1	inner_focus	darumaka	gen5
	darmanitan	2	zen_mode	darumaka	gen5
	maractus	1	storm_drain	maractus	gen5
	dwebble	1	weak_armor	dwebble	gen5
	crustle	2	weak_armor	dwebble	gen5
	scraggy	1	intimidate	scraggy	gen5
	scrafty	2	intimidate	scraggy	gen5
	sigilyph	1	tinted_lens	sigilyph	gen5
	tirtouga	1	swift_swim	tirtouga	gen5
	carracosta	2	swift_swim	tirtouga	gen5
	trubbish	1	aftermath	trubbish	gen5
	garbodor	2	aftermath	trubbish	gen5
	minccino	1	skill_link	minccino	gen5
	cinccino	2	skill_link	minccino	gen5
	gothorita	1	shadow_tag	gothorita	gen5
	gothitelle	2	shadow_tag	gothorita	gen5
	solosis	1	regenerator	solosis	gen5
	duosion	2	regenerator	solosis	gen5
	reuniclus	3	regenerator	solosis	gen5
	ducklett	1	hydration	ducklett	gen5
	swanna	2	hydration	ducklett	gen5
	vanillite	1	weak_armor	vanillite	gen5
	vanillish	2	weak_armor	vanillite	gen5
	vanilluxe	3	weak_armor	vanillite	gen5
	deerling	1	serene_grace	deerling	gen5
	sawsbuck	2	serene_grace	deerling	gen5
	emolga	1	motor_drive	emolga	gen5
	karrablast	1	no_guard	karrablast	gen5
	escavalier	2	overcoat	karrablast	gen5
	foongus	1	regenerator	foongus	gen5
	amoonguss	2	regenerator	foongus	gen5
	frillish	1	damp	frillish	gen5
	jellicent	2	damp	frillish	gen5
	alomomola	1	regenerator	alomomola	gen5
	joltik	1	swarm	joltik	gen5
	galvantula	2	swarm	joltik	gen5
	klang	1	clear_body	klang	gen5
	klinklang	2	clear_body	klang	gen5
	elgyem	1	analytic	elgyem	gen5
	beheeyem	2	analytic	elgyem	gen5
	axew	1	unnerve	axew	gen5
	fraxure	2	unnerve	axew	gen5
	haxorus	3	unnerve	axew	gen5
	cubchoo	1	rattled	cubchoo	gen5
	beartic	2	swift_swim	cubchoo	gen5
	shelmet	1	overcoat	shelmet	gen5
	accelgor	2	unburden	shelmet	gen5
	stunfisk	1	sand_veil	stunfisk	gen5
	mienfoo	1	reckless	mienfoo	gen5
	mienshao	2	reckless	mienfoo	gen5
	druddigon	1	mold_breaker	druddigon	gen5
	golett	1	no_guard	golett	gen5
	golurk	2	no_guard	golett	gen5
	pawniard	1	pressure	pawniard	gen5
	bisharp	2	pressure	pawniard	gen5
	bouffalant	1	soundproof	bouffalant	gen5
	braviary	1	defiant	braviary	gen5
	vullaby	1	weak_armor	vullaby	gen5
	mandibuzz	2	weak_armor	vullaby	gen5
	heatmor	1	white_smoke	heatmor	gen5
	durant	1	truant	durant	gen5
	tornadus	1	defiant	tornadus	gen5
	thundurus	1	defiant	thundurus	gen5
	landorus	1	sheer_force	landorus	gen5
	bulbasaur	1	chlorophyll	bulbasaur	gen6
	ivysaur	2	chlorophyll	bulbasaur	gen6
	venusaur	3	chlorophyll	bulbasaur	gen6
	charmander	1	solar_power	charmander	gen6
	charmeleon	2	solar_power	charmander	gen6
	charizard	3	solar_power	charmander	gen6
	squirtle	1	rain_dish	squirtle	gen6
	wartortle	2	rain_dish	squirtle	gen6
	blastoise	3	rain_dish	squirtle	gen6
	caterpie	1	run_away	caterpie	gen6
	butterfree	2	tinted_lens	caterpie	gen6
	weedle	1	run_away	weedle	gen6
	beedrill	2	sniper	weedle	gen6
	pidgey	1	big_pecks	pidgey	gen6
	pidgeotto	2	big_pecks	pidgey	gen6
	pidgeot	3	big_pecks	pidgey	gen6
	rattata	1	hustle	rattata	gen6
	raticate	2	hustle	rattata	gen6
	spearow	1	sniper	spearow	gen6
	fearow	2	sniper	spearow	gen6
	ekans	1	unnerve	ekans	gen6
	arbok	2	unnerve	ekans	gen6
	pichu	1	lightning_rod	pichu	gen6
	pikachu	2	lightning_rod	pichu	gen6
	raichu	3	lightning_rod	pichu	gen6
	sandshrew	1	sand_rush	sandshrew	gen6
	sandslash	2	sand_rush	sandshrew	gen6
	nidoran_f	1	hustle	nidoran_f	gen6
	nidorina	2	hustle	nidoran_f	gen6
	nidoqueen	3	sheer_force	nidoran_f	gen6
	nidoran_m	4	hustle	nidoran_f	gen6
	nidorino	5	hustle	nidoran_f	gen6
	nidoking	6	sheer_force	nidoran_f	gen6
	cleffa	1	friend_guard	cleffa	gen6
	clefairy	2	friend_guard	cleffa	gen6
	clefable	3	unaware	cleffa	gen6
	vulpix	1	drought	vulpix	gen6
	ninetales	2	drought	vulpix	gen6
	igglybuff	1	friend_guard	igglybuff	gen6
	jigglypuff	2	friend_guard	igglybuff	gen6
	wigglytuff	3	frisk	igglybuff	gen6
	zubat	1	infiltrator	zubat	gen6
	golbat	2	infiltrator	zubat	gen6
	crobat	3	infiltrator	zubat	gen6
	oddish	1	run_away	oddish	gen6
	gloom	2	stench	oddish	gen6
	vileplume	3	effect_spore	oddish	gen6
	bellossom	4	healer	oddish	gen6
	paras	1	damp	paras	gen6
	parasect	2	damp	paras	gen6
	venonat	1	run_away	venonat	gen6
	venomoth	2	wonder_skin	venonat	gen6
	diglett	1	sand_force	diglett	gen6
	dugtrio	2	sand_force	diglett	gen6
	meowth	1	unnerve	meowth	gen6
	persian	2	unnerve	meowth	gen6
	psyduck	1	swift_swim	psyduck	gen6
	golduck	2	swift_swim	psyduck	gen6
	mankey	1	defiant	mankey	gen6
	primeape	2	defiant	mankey	gen6
	growlithe	1	justified	growlithe	gen6
	arcanine	2	justified	growlithe	gen6
	poliwag	1	swift_swim	poliwag	gen6
	poliwhirl	2	swift_swim	poliwag	gen6
	poliwrath	3	swift_swim	poliwag	gen6
	politoed	4	drizzle	poliwag	gen6
	abra	1	magic_guard	abra	gen6
	kadabra	2	magic_guard	abra	gen6
	alakazam	3	magic_guard	abra	gen6
	machop	1	steadfast	machop	gen6
	machoke	2	steadfast	machop	gen6
	machamp	3	steadfast	machop	gen6
	bellsprout	1	gluttony	bellsprout	gen6
	weepinbell	2	gluttony	bellsprout	gen6
	victreebel	3	gluttony	bellsprout	gen6
	tentacool	1	rain_dish	tentacool	gen6
	tentacruel	2	rain_dish	tentacool	gen6
	geodude	1	sand_veil	geodude	gen6
	graveler	2	sand_veil	geodude	gen6
	golem	3	sand_veil	geodude	gen6
	ponyta	1	flame_body	ponyta	gen6
	rapidash	2	flame_body	ponyta	gen6
	slowpoke	1	regenerator	slowpoke	gen6
	slowbro	2	regenerator	slowpoke	gen6
	slowking	3	regenerator	slowpoke	gen6
	magnemite	1	analytic	magnemite	gen6
	magneton	2	analytic	magnemite	gen6
	magnezone	3	analytic	magnemite	gen6
	farfetch'd	1	defiant	farfetch'd	gen6
	doduo	1	tangled_feet	doduo	gen6
	dodrio	2	tangled_feet	doduo	gen6
	seel	1	ice_body	seel	gen6
	dewgong	2	ice_body	seel	gen6
	grimer	1	poison_touch	grimer	gen6
	muk	2	poison_touch	grimer	gen6
	shellder	1	overcoat	shellder	gen6
	cloyster	2	overcoat	shellder	gen6
	onix	1	weak_armor	onix	gen6
	steelix	2	sheer_force	onix	gen6
	drowzee	1	inner_focus	drowzee	gen6
	hypno	2	inner_focus	drowzee	gen6
	krabby	1	sheer_force	krabby	gen6
	kingler	2	sheer_force	krabby	gen6
	voltorb	1	aftermath	voltorb	gen6
	electrode	2	aftermath	voltorb	gen6
	exeggcute	1	harvest	exeggcute	gen6
	exeggutor	2	harvest	exeggcute	gen6
	cubone	1	battle_armor	cubone	gen6
	marowak	2	battle_armor	cubone	gen6
	tyrogue	1	vital_spirit	tyrogue	gen6
	hitmonlee	2	unburden	tyrogue	gen6
	hitmonchan	3	inner_focus	tyrogue	gen6
	hitmontop	4	steadfast	tyrogue	gen6
	lickitung	1	cloud_nine	lickitung	gen6
	lickilicky	2	cloud_nine	lickitung	gen6
